id,title,kind
1,noise: grocery list thursday errands,text
2,formal residual solvency note (gibberish),text
3,noise: Copy of weekend brunch ideas,doc
4,claimed interior formal outline (public nonsense),doc
5,noise: Screenshots dump beach trip,folder
6,residual claimed interior scraps folder,folder
7,noise: budget doodle for groceries,sheet
8,solvency claimed worksheet v0 nonsense,sheet
9,noise: IMG_2201 coffee blur.HEIC,image
10,formal residual plate sketch.png,image
11,noise: unsubscribe me from newsletters.pdf,pdf
12,formal solvency checklist draft.pdf,pdf
13,noise: vacation montage untitled.mov,video
14,claimed interior walkthrough clip.mov,video
15,noise: old downloads zip backup.zip,archive
16,residual formal pack archive.zip,archive
17,noise: thread best airport snacks,text
18,interior claimed residual desk scrap,text
